"Brand","Number"
"Jameson","10"
"Lucky Strike","2"
"Partagas","4"
"Barolo","0"
"Laurent Perrier","1"
"Chivas","26"
"After Eight","4"
"Mozart","7"
"Guerlain","301"
"L'Occitane en Provence","84"
"Fortnum & Mason","2"
"Epicuure","0"
"Jim Beam","12"
"Baileys","11"
"Famous Grouse","4"
"Johnnie Walker","25"
"DANZKA","10"
"Camus","16"
"Taittinger","1"
"Veuve Clicquot","6"
"Castelgiocondo","0"
"Pommery","0"
"Bottega","55"
"Louis Roederer","17"
"Laroche","7"
"Louis Jadot","17"
"Moet & Chandon","3"
"Freixenet","5"
"Dr.Loosen","3"
"Luce","3"
"Luce Della Vite","3"
"Ornellaia","3"
"Blue Nun","14"
"Henkell","4"
"Baron de Ley","22"
"Baron Philippe de Rothschild","22"
"Masi","15"
"Vina Sena","1"
"Hugel","2"
"Torres","20"
"Dom Perignon","2"
"Dior","557"
"Chloe","47"
"Versace","100"
"Burberry","63"
"Dolce & Gabbana","110"
"Gucci","99"
"Kenzo","54"
"Tom Ford","78"
"Roberto Cavalli","28"
"Lancome","404"
"DKNY","70"
"Cacharel","16"
"Hermes","67"
"Paco Rabanne","56"
"Balenciaga","4"
"Sisley","235"
"S.Ferragamo","12"
"Bvlgari","140"
"Givenchy","259"
"Valentino","15"
"Carolina Herrera","24"
"Yves Saint Laurent","341"
"Bottega Veneta","55"
"Eisenberg","54"
"Biotherm","110"
"Clarins","309"
"Kanebo","11"
"Shiseido","221"
"Clinique","254"
"Helena Rubinstein","39"
"Agatha Ruiz de la Prada","0"
"L'Oreal","185"
"Gordon's","4"
"Jagermeister","9"
"Captain Morgan","4"
"Nikka","6"
"Hendricks","2"
"Di Saronno","2"
"Jack Daniel's","15"
"Wild Turkey","10"
"Otard","0"
"Asbach","4"
"Freihof","0"
"Woodford","3"
"Aberfeldy","2"
"Amarula","4"
"Haig","1"
"Bowmore","6"
"Bruichladdich","4"
"Ciroc","1"
"Alexander","1"
"M&M's","15"
"Niederegger","11"
"Nestle","13"
"Reber","8"
"Anthon Berg","21"
"Godiva","26"
"Fazer","21"
"Guylian","21"
"Starbrook","5"
"Amari","4"
"Perla","0"
"Kusmi Tea","22"
"Edouard Artzner","0"
"Terramezzo","10"
"L'Himalayen","0"
"Borgo de Medici","7"
"Compagnia dell'Arabica","0"
"Il Boschetto","2"
"Meukow","12"
"Glenlivet","7"
"Metaxa","6"
"Finlandia","17"
"Sierra","8"
"Martini","15"
"Mars","7"
"Maltesers","0"
"Marc Jacobs","58"
"Hennessy","12"
"L&M","0"
"Ferrero","8"
"Toblerone","37"
"Archers","1"
"Beefeater","5"
"Bulleit","2"
"Cardhu","1"
"Chymos","1"
"Fussigny","2"
"Grey Goose","6"
"Oban","2"
"Penfolds","1"
"Talisker","4"
